,level_0,Elo_home,Elo_away,home_GF,home_GA,away_GF,away_GA,result
514,13125,75.0,82.0,42,44,63,39,1.0
515,27213,71.0,77.0,53,53,51,35,0.0
516,85466,89.0,97.0,51,53,100,33,-1.0
517,41605,56.0,71.0,31,62,36,59,-1.0
518,5194,53.0,54.0,46,48,33,49,1.0
519,3574,42.0,61.0,46,54,41,42,1.0
520,1378,56.0,55.0,64,56,65,73,1.0
521,103136,74.0,75.0,29,63,33,36,-1.0
522,121321,49.0,51.0,44,49,40,56,1.0
523,95222,61.0,52.0,28,45,46,50,1.0
524,78194,79.0,76.0,45,42,15,79,1.0
525,41976,79.0,54.0,45,41,21,70,0.0
526,58963,80.0,77.0,52,53,55,55,1.0
527,51285,58.0,51.0,30,44,54,37,1.0
528,41063,78.0,93.0,42,34,52,29,1.0
529,52240,50.0,49.0,36,38,44,52,0.0
530,8253,49.0,61.0,53,46,46,52,0.0
531,8414,61.0,49.0,29,33,32,41,1.0
532,119721,48.0,54.0,49,40,59,40,1.0
533,41596,69.0,62.0,50,40,31,61,1.0
534,78833,73.0,78.0,47,75,49,51,-1.0
535,59751,89.0,77.0,66,38,35,47,0.0
536,14597,85.0,74.0,54,40,37,49,1.0
537,32777,58.0,78.0,29,59,53,46,0.0
538,28206,67.0,76.0,44,67,57,37,0.0
539,102910,73.0,78.0,27,44,27,31,0.0
540,80978,76.0,83.0,42,34,35,54,-1.0
541,101964,64.0,53.0,49,46,43,54,1.0
542,116813,44.0,52.0,42,43,54,66,0.0
